gene_name,ingredient_name
SCIN,L-HISTIDINE
NGB,L-HISTIDINE
SEC61A2,L-HISTIDINE
PSMC3,L-HISTIDINE
SCG5,L-HISTIDINE
PDIA3,L-HISTIDINE
ACSF2,L-HISTIDINE
DIP2B,L-HISTIDINE
LGALS4,L-HISTIDINE
HINT1,L-HISTIDINE
UBB,L-HISTIDINE
LRTOMT,L-HISTIDINE
GLUL,L-HISTIDINE
EEF2,L-HISTIDINE
PSMD1,L-HISTIDINE
ACO1,L-HISTIDINE
PSMD2,L-HISTIDINE
PSMC5,L-HISTIDINE
PSMA8,L-HISTIDINE
DTD2,L-HISTIDINE
AOC3,L-HISTIDINE
PFAS,L-HISTIDINE
TYMS,L-HISTIDINE
PKM,L-HISTIDINE
NPEPPS,L-HISTIDINE
SLC7A8,L-HISTIDINE
ACSF3,L-HISTIDINE
CALR,L-HISTIDINE
CNDP2,L-HISTIDINE
MDH2,L-HISTIDINE
PSMF1,L-HISTIDINE
TSPO,L-HISTIDINE
EML1,L-HISTIDINE
MPP7,L-HISTIDINE
SEC61G,L-HISTIDINE
CYB5A,L-HISTIDINE
ATP13A5,L-HISTIDINE
CARD14,L-HISTIDINE
UBC,L-HISTIDINE
DLG1,L-HISTIDINE
H4C11,L-HISTIDINE
TAT,L-HISTIDINE
PSMD12,L-HISTIDINE
DCTD,L-HISTIDINE
DDC,L-HISTIDINE
H4C16,L-HISTIDINE
GAD1,L-HISTIDINE
PSMB10,L-HISTIDINE
CNDP1,L-HISTIDINE
PRDM10,L-HISTIDINE
MB,L-HISTIDINE
HLA-G,L-HISTIDINE
CYTB,L-HISTIDINE
MINDY1,L-HISTIDINE
ND4,L-HISTIDINE
WDTC1,L-HISTIDINE
PSMB5,L-HISTIDINE
ACTA1,L-HISTIDINE
GUK1,L-HISTIDINE
PARP1,L-HISTIDINE
ANGEL2,L-HISTIDINE
VIP,L-HISTIDINE
PSMD4,L-HISTIDINE
CTSS,L-HISTIDINE
MPP1,L-HISTIDINE
ACTR1A,L-HISTIDINE
DPH5,L-HISTIDINE
PSMA7,L-HISTIDINE
PATJ,L-HISTIDINE
VEGFA,L-HISTIDINE
DLG5,L-HISTIDINE
CTSA,L-HISTIDINE
PSMB2,L-HISTIDINE
GSN,L-HISTIDINE
DLG3,L-HISTIDINE
ALPL,L-HISTIDINE
TPP2,L-HISTIDINE
DLG2,L-HISTIDINE
HLA-C,L-HISTIDINE
HLA-A,L-HISTIDINE
DTD1,L-HISTIDINE
H4C2,L-HISTIDINE
H4C3,L-HISTIDINE
SLC3A2,L-HISTIDINE
MYC,L-HISTIDINE
CASK,L-HISTIDINE
APTX,L-HISTIDINE
GTF3A,L-HISTIDINE
TH,L-HISTIDINE
PSME1,L-HISTIDINE
UROC1,L-HISTIDINE
METTL6,L-HISTIDINE
ALPP,L-HISTIDINE
NME1-NME2,L-HISTIDINE
MPP3,L-HISTIDINE
PAICS,L-HISTIDINE
PSME4,L-HISTIDINE
MAGI1,L-HISTIDINE
PSMB11,L-HISTIDINE
PSMD14,L-HISTIDINE
MPP4,L-HISTIDINE
CREB1,L-HISTIDINE
UBA52,L-HISTIDINE
CARNS1,L-HISTIDINE
CHD7,L-HISTIDINE
DIP2A,L-HISTIDINE
DHFR,L-HISTIDINE
PSMD13,L-HISTIDINE
HLA-B,L-HISTIDINE
ERAP2,L-HISTIDINE
PSMC6,L-HISTIDINE
PVR,L-HISTIDINE
ZDHHC17,L-HISTIDINE
PSMA1,L-HISTIDINE
NME6,L-HISTIDINE
ACTBL2,L-HISTIDINE
MUC4,L-HISTIDINE
PPIA,L-HISTIDINE
HARS1,L-HISTIDINE
IGLL5,L-HISTIDINE
PSMD9,L-HISTIDINE
HPR,L-HISTIDINE
MGAM,L-HISTIDINE
GALK2,L-HISTIDINE
PYGM,6-CARBOXYHEXANOATE
PYGL,6-CARBOXYHEXANOATE
PYGB,6-CARBOXYHEXANOATE
OGDH,6-CARBOXYHEXANOATE
DNPEP,6-CARBOXYHEXANOATE
METAP1,6-CARBOXYHEXANOATE
METAP1D,6-CARBOXYHEXANOATE
SLC25A21,6-CARBOXYHEXANOATE
HLCS,6-CARBOXYHEXANOATE
GCAT,6-CARBOXYHEXANOATE
GBE1,6-CARBOXYHEXANOATE
PTRH1,6-CARBOXYHEXANOATE
ISOC2,Salicylic acid
ISOC1,Salicylic acid
SLC22A4,Salicylic acid
R3HDML,Salicylic acid
MPO,Salicylic acid
N/A,Salicylic acid
IL4,Salicylic acid
PRTN3,Salicylic acid
CAT,Salicylic acid
PEPD,Salicylic acid
CDKN1A,Salicylic acid
SLC22A5,Salicylic acid
ALOX12,Salicylic acid
CYP2E1,Salicylic acid
NARS1,Salicylic acid
IL6,Salicylic acid
PI15,Salicylic acid
VWF,Salicylic acid
SCARB1,Salicylic acid
CRISPLD1,Salicylic acid
CRISPLD2,Salicylic acid
SELP,Salicylic acid
DARS1,Salicylic acid
CUL3,Salicylic acid
GLIPR1,Salicylic acid
METTL21C,Salicylic acid
TP53,Salicylic acid
SLC22A3,Salicylic acid
SLC22A9,Salicylic acid
NARS2,Salicylic acid
TMPRSS11D,Salicylic acid
SLC26A2,Salicylic acid
CLEC18A,Salicylic acid
ALB,Salicylic acid
ANXA5,Salicylic acid
METTL27,Salicylic acid
GHDC,Salicylic acid
SLC22A11,Salicylic acid
GUSB,Salicylic acid
CES3,Salicylic acid
SLC26A5,Salicylic acid
CEBPB,Salicylic acid
PCBP1,Salicylic acid
CYCS,Salicylic acid
GLUL,Salicylic acid
HPSE,Salicylic acid
SLC26A7,Salicylic acid
NLRP6,Salicylic acid
